modl,cLeaf,cRoot,cVeg,cWood,npp,fNloss,fNup,fBNF,fNdep
CABLE-POP,cLeaf,cRoot,cVeg,cWood,,,,,
CLASS-CTEM,cLeaf,cRoot,cVeg,cWood,,,,,
CLM5.0,,,,,,,,,
CLM5.0_Corrected,cLeaf,cRoot,cVeg,cWood,,,,,
DLEM,,,,,,,,,
ISAM,cLeaf,cRoot,cVeg,cWood,,,,,
ISBA-CTRIP-UPDATE,,,,,,,,,
JSBACH,,,,,,,,,
JULES-ES-1.0,,,,,,,,,
LPJ-GUESS,cLeaf,cRoot,cVeg,cWood,,,,,
LPJ-wsl,,,,,,,,,
LPX-Bern,cLeaf,croot,cVeg,cWood,,,,,
OCN,,,,,,,,,
ORCHIDEE,cLeaf,cRoot,cVeg,cWood,,,,,
ORCHIDEE-CNP,cLeaf,cRoot,cVeg,cWood,,,,,
SDGVM,,,,,,,,,
VISIT,,,,,,,,,
