modl,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
CABLE,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
CLASS-CTEM,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
CLM,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
DLEM,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
ISAM,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
JSBACH,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
JULES,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
LPJ,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
LPJ-GUESS,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
OCN,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
LPX-Bern,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
ORCHIDEE-CNP,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
ORCHIDEE,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
SDGVM,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
SURFEX,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
VEGAS,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
VISIT,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
